State,2014,2013,2012,2011,2010,2009,2008,2007
Minnesota,9.4902709801,11.1395178963,12.7840909091,12.3815877252,14.4745202694,12.2570614149,17.9748822606,19.7323501297
Missouri,13.3617138149,24.2395991143,22.8973332031,25.2642118144,21.9896577198,21.4111222877,27.0586704826,17.7685288939
Mississippi,36.8823000898,54.9313358302,56.8172399503,54.2064180399,56.9449507838,56.3460850912,38.5007649159,38.198983297
Montana,47.7936962751,41.7465388711,37.0976541189,31.221719457,27.6780185759,30.3511705686,28.9343683839,25.652173913
North Carolina,22.7743451397,25.9286653517,34.8639455782,28.3111042184,24.755967517,34.4093512928,35.3396180807,33.2401287917
North Dakota,36.8839427663,67.4238762687,7.7034883721,7.1310116086,3.8798498123,1.0349288486,3.0894308943,9.2767295597
Nebraska,3.6021150033,5.5007949126,21.9583003431,14.289740699,13.4640185711,17.1866594944,19.0213299875,14.8399886718
New Hampshire,9.6656976744,13.9599170698,11.1631016043,21.1027910143,15.0571791614,14.5288753799,23.9722634968,43.371886121
New Jersey,8.0113100848,11.6563906016,12.2533589251,9.2452429794,12.0404746306,9.8564811299,14.2567958357,14.3121173617
New Mexico,15.5863073562,15.1826888968,26.1325115562,23.5490141627,39.3381294964,39.3381294964,42.0232172471,42.0232172471
Nevada,54.5566502463,56.2004027005,60.0040298207,57.0375271765,46.224475812,46.1804116591,61.435368755,61.5360051094
New York,5.0912023824,5.3687201343,5.8706839548,5.7798092836,6.3088741883,5.9164524211,7.5402862986,8.4982668008
Ohio,9.3292734501,10.8559837728,12.3846318953,13.8603223331,14.639191662,13.9448818898,19.6328996283,16.7258522727
Oklahoma,22.2381293247,25.998185118,39.527027027,35.3945945946,36.6035570855,31.6453079785,27.1190847634,26.8182895049
Oregon,49.8438013811,53.4654897989,58.6492292141,59.3601483714,62.9027293249,57.0050262869,51.8423473587,52.6492325185
Pennsylvania,6.7305810996,9.0083521145,7.3018458198,7.02172761,7.5640672362,8.4591944886,8.4471322669,9.1183723798
Puerto Rico,65.9728944821,66.0368217054,58.0946450809,64.3448275862,66.1605206074,67.4447174447,73.1075697211,68.2524947784
Rhode Island,1.6806722689,8.4537572254,2.1926389977,2.8971962617,5.9282371295,3.1736154325,4.5150501672,3.5714285714
South Carolina,35.7524223848,47.8759168704,43.519837233,41.9988219124,32.1260898726,32.1260898726,45.4770318021,45.4770318021
South Dakota,6.2146892655,30.987202925,7.450523865,7.7481840194,8.755129959,8.755129959,7.0811744387,7.0811744387
Tennessee,32.2039298991,33.6586901763,38.7014640356,35.092724679,31.8898404048,32.2730725408,41.6795466255,42.4977698483
Texas,36.030882611,40.823906804,48.6050745918,48.6006881417,45.3574784317,41.0843012976,40.0845981587,42.4901980497
Utah,10.159039273,12.7555691181,13.4675361497,14.1533546326,17.1132764921,6.7193675889,7.4548631334,10.3952175357
Virginia,9.8290598291,13.4032786885,16.9634377968,16.220508167,18.0726872247,17.7135110709,18.5854292124,22.3578904166
Vermont,10.4554201411,12.6547455296,19.224137931,10.7517482517,11.6393442623,12.9324546952,27.0440251572,30.4347826087
Washington,32.003036547,28.4515765766,26.7118611003,26.2439453985,27.9263921671,28.728820999,29.5982508882,27.8968304889
Wisconsin,5.6647398844,6.0288335518,9.6399535424,7.4330164218,17.0535291331,16.245210728,9.4512754634,9.9681303116
West Virginia,21.3611525087,28.0357142857,36.3900414938,36.4540931705,32.6855123675,23.3353329334,29.4642857143,10.8758821088
Wyoming,25.6274768824,47.4291710388,73.8003309432,81.2138728324,11.0535405872,12.427184466,17.5765645806,26.0707635009
Total,30.664875593,33.3019020968,37.3729899098,37.2512263742,36.9922837434,36.3481982778,39.9751113928,39.8900700615
