year,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,National Total
2014,8.127802691,22.86779215,48.80790191,24.47832301,62.69043106,19.39569206,20.65168539,4.10654828,52.21462616,50.28145996,44.88291414,6.278026906,30.22813688,12.95490959,6.749288226,8.947179303,16.32933779,23.94702562,3.573951123,20.22657841,3.411592076,17.60039257,9.49027098,13.36171381,36.88230009,47.79369628,22.77434514,36.88394277,3.602115003,9.665697674,8.011310085,15.58630736,54.55665025,5.091202382,9.32927345,22.23812932,49.84380138,6.7305811,65.97289448,1.680672269,35.75242238,6.214689266,32.2039299,36.03088261,10.15903927,9.829059829,10.45542014,32.00303655,5.664739884,21.36115251,25.62747688,30.66487559
2013,10.5344296,30.77415227,56.34837356,29.64400682,61.57466766,22.17551774,20.66097122,1.057082452,58.90267853,49.85563609,40.8839779,4.345006485,21.16788321,16.3575419,11.48293963,11.54845897,14.37559581,30.13777268,4.466866362,23.42474101,2.055702918,18.98152164,11.1395179,24.23959911,54.93133583,41.74653887,25.92866535,67.42387627,5.500794913,13.95991707,11.6563906,15.1826889,56.2004027,5.368720134,10.85598377,25.99818512,53.4654898,9.008352115,66.03682171,8.453757225,47.87591687,30.98720293,33.65869018,40.8239068,12.75556912,13.40327869,12.65474553,28.45157658,6.028833552,28.03571429,47.42917104,33.3019021
2012,10.29796132,29.66020349,61.98386331,27.31374978,61.78953854,56.70324427,16.51223569,2.182539683,64.05292732,59.44628583,40.34582133,5.054644809,24.69512195,21.17505656,14.20354689,12.44411326,17.41873805,51.01646938,4.125478544,37.14829702,1.379022148,18.44027954,12.78409091,22.8973332,56.81723995,37.09765412,34.86394558,7.703488372,21.95830034,11.1631016,12.25335893,26.13251156,60.00402982,5.870683955,12.3846319,39.52702703,58.64922921,7.30184582,58.09464508,2.192638998,43.51983723,7.450523865,38.70146404,48.60507459,13.46753615,16.9634378,19.22413793,26.7118611,9.639953542,36.39004149,73.80033094,37.37298991
2011,17.29323308,32.54767902,47.37149533,30.48362529,59.48868359,59.34109553,15.59694794,2.125603865,63.26494611,58.41239571,41.30575307,3.860880664,27.92178263,20.84374331,10.42608134,11.50935882,14.10341399,63.35163061,4.218674988,36.36363636,1.185124642,17.60333713,12.38158773,25.26421181,54.20641804,31.22171946,28.31110422,7.131011609,14.2897407,21.10279101,9.245242979,23.54901416,57.03752718,5.779809284,13.86032233,35.39459459,59.36014837,7.02172761,64.34482759,2.897196262,41.99882191,7.748184019,35.09272468,48.60068814,14.15335463,16.22050817,10.75174825,26.2439454,7.433016422,36.45409317,81.21387283,37.25122637
2010,10.30595813,35.6434006,37.43664012,47.38531106,58.77955944,41.66774319,11.56163114,5.295315682,62.09101493,55.90844928,39.40692492,3.682813537,33.33333333,15.19277527,18.8933664,9.683794466,15.46127133,67.18474603,6.313829148,39.92623329,1.176965111,21.74146117,14.47452027,21.98965772,56.94495078,27.67801858,24.75596752,3.879849812,13.46401857,15.05717916,12.04047463,39.3381295,46.22447581,6.308874188,14.63919166,36.60355709,62.90272932,7.564067236,66.16052061,5.92823713,32.12608987,8.755129959,31.8898404,45.35747843,17.11327649,18.07268722,11.63934426,27.92639217,17.05352913,32.68551237,11.05354059,36.99228374
2009,16.41566265,35.64144737,39.34081346,43.16962163,58.94419379,40.85014409,10.90119435,4.159292035,60.67015594,53.73772102,43.47976479,4.704142012,23.8267148,15.68125222,25.45819015,10.35940803,11.66861144,67.06653871,6.497868492,36.34809369,1.554828151,19.32881114,12.25706141,21.41112229,56.34608509,30.35117057,34.40935129,1.034928849,17.18665949,14.52887538,9.85648113,39.3381295,46.18041166,5.916452421,13.94488189,31.64530798,57.00502629,8.459194489,67.44471744,3.173615433,32.12608987,8.755129959,32.27307254,41.0843013,6.719367589,17.71351107,12.9324547,28.728821,16.24521073,23.33533293,12.42718447,36.34819828
2008,11.78614824,28.66159272,37.94162826,44.18641896,65.60121877,53.36678647,13.11865139,7.609860665,58.6825631,53.57423409,55.40339878,7.740585774,14.61748634,22.03205651,19.90534145,13.69390104,23.86628979,32.49407043,7.369364401,34.33127237,1.671732523,58.29439252,17.97488226,27.05867048,38.50076492,28.93436838,35.33961808,3.089430894,19.02132999,23.9722635,14.25679584,42.02321725,61.43536876,7.540286299,19.63289963,27.11908476,51.84234736,8.447132267,73.10756972,4.515050167,45.4770318,7.081174439,41.67954663,40.08459816,7.454863133,18.58542921,27.04402516,29.59825089,9.451275463,29.46428571,17.57656458,39.97511139
2007,15.52984166,30.37417461,40.43274244,41.15799536,65.09648454,50.99472759,18.09460062,19.50989632,57.29264183,57.52838739,55.32125206,10.71689832,35.67753002,21.41150642,17.15139984,13.35859782,26.31187198,28.70404077,9.347524294,33.34025758,2.350265353,59.17299876,19.73235013,17.76852889,38.1989833,25.65217391,33.24012879,9.27672956,14.83998867,43.37188612,14.31211736,42.02321725,61.53600511,8.498266801,16.72585227,26.8182895,52.64923252,9.11837238,68.25249478,3.571428571,45.4770318,7.081174439,42.49776985,42.49019805,10.39521754,22.35789042,30.43478261,27.89683049,9.968130312,10.87588211,26.0707635,39.89007006
